year,city,country,avg_temp
1753,Tripoli,Libya,19.43
1754,Tripoli,Libya,19.54
1755,Tripoli,Libya,19.26
1756,Tripoli,Libya,19.77
1757,Tripoli,Libya,19.57
1758,Tripoli,Libya,18.12
1759,Tripoli,Libya,19.22
1760,Tripoli,Libya,18.69
1761,Tripoli,Libya,19.63
1762,Tripoli,Libya,19.57
1763,Tripoli,Libya,18.82
1764,Tripoli,Libya,19.61
1765,Tripoli,Libya,19.54
1766,Tripoli,Libya,19.60
1767,Tripoli,Libya,19.28
1768,Tripoli,Libya,18.30
1769,Tripoli,Libya,19.27
1770,Tripoli,Libya,19.16
1771,Tripoli,Libya,19.61
1772,Tripoli,Libya,20.40
1773,Tripoli,Libya,19.34
1774,Tripoli,Libya,19.85
1775,Tripoli,Libya,20.01
1776,Tripoli,Libya,19.26
1777,Tripoli,Libya,19.11
1778,Tripoli,Libya,19.63
1779,Tripoli,Libya,19.69
1780,Tripoli,Libya,20.19
1781,Tripoli,Libya,19.53
1782,Tripoli,Libya,19.06
1783,Tripoli,Libya,19.16
1784,Tripoli,Libya,19.28
1785,Tripoli,Libya,18.96
1786,Tripoli,Libya,19.38
1787,Tripoli,Libya,19.50
1788,Tripoli,Libya,19.92
1789,Tripoli,Libya,19.12
1790,Tripoli,Libya,19.49
1791,Tripoli,Libya,19.67
1792,Tripoli,Libya,19.38
1793,Tripoli,Libya,18.92
1794,Tripoli,Libya,19.19
1795,Tripoli,Libya,19.46
1796,Tripoli,Libya,19.53
1797,Tripoli,Libya,19.35
1798,Tripoli,Libya,19.60
1799,Tripoli,Libya,19.83
1800,Tripoli,Libya,19.91
1801,Tripoli,Libya,19.92
1802,Tripoli,Libya,20.03
1803,Tripoli,Libya,19.70
1804,Tripoli,Libya,20.00
1805,Tripoli,Libya,19.23
1806,Tripoli,Libya,19.40
1807,Tripoli,Libya,19.52
1808,Tripoli,Libya,18.49
1809,Tripoli,Libya,18.45
1810,Tripoli,Libya,18.56
1811,Tripoli,Libya,18.87
1812,Tripoli,Libya,18.30
1813,Tripoli,Libya,18.59
1814,Tripoli,Libya,18.22
1815,Tripoli,Libya,18.73
1816,Tripoli,Libya,18.14
1817,Tripoli,Libya,18.63
1818,Tripoli,Libya,19.21
1819,Tripoli,Libya,18.93
1820,Tripoli,Libya,19.27
1821,Tripoli,Libya,18.79
1822,Tripoli,Libya,19.54
1823,Tripoli,Libya,18.89
1824,Tripoli,Libya,19.19
1825,Tripoli,Libya,19.08
1826,Tripoli,Libya,19.00
1827,Tripoli,Libya,19.25
1828,Tripoli,Libya,19.53
1829,Tripoli,Libya,19.07
1830,Tripoli,Libya,19.44
1831,Tripoli,Libya,19.19
1832,Tripoli,Libya,19.05
1833,Tripoli,Libya,19.03
1834,Tripoli,Libya,19.13
1835,Tripoli,Libya,18.48
1836,Tripoli,Libya,18.80
1837,Tripoli,Libya,18.38
1838,Tripoli,Libya,19.01
1839,Tripoli,Libya,19.03
1840,Tripoli,Libya,19.25
1841,Tripoli,Libya,19.48
1842,Tripoli,Libya,19.18
1843,Tripoli,Libya,19.22
1844,Tripoli,Libya,19.28
1845,Tripoli,Libya,19.20
1846,Tripoli,Libya,19.90
1847,Tripoli,Libya,19.11
1848,Tripoli,Libya,19.03
1849,Tripoli,Libya,19.19
1850,Tripoli,Libya,18.72
1851,Tripoli,Libya,18.82
1852,Tripoli,Libya,19.48
1853,Tripoli,Libya,19.49
1854,Tripoli,Libya,18.70
1855,Tripoli,Libya,19.21
1856,Tripoli,Libya,18.95
1857,Tripoli,Libya,18.80
1858,Tripoli,Libya,19.03
1859,Tripoli,Libya,19.21
1860,Tripoli,Libya,19.13
1861,Tripoli,Libya,19.05
1862,Tripoli,Libya,19.58
1863,Tripoli,Libya,19.40
1864,Tripoli,Libya,19.24
1865,Tripoli,Libya,19.29
1866,Tripoli,Libya,19.49
1867,Tripoli,Libya,19.66
1868,Tripoli,Libya,19.03
1869,Tripoli,Libya,19.21
1870,Tripoli,Libya,19.28
1871,Tripoli,Libya,19.09
1872,Tripoli,Libya,19.54
1873,Tripoli,Libya,19.23
1874,Tripoli,Libya,18.94
1875,Tripoli,Libya,18.97
1876,Tripoli,Libya,19.41
1877,Tripoli,Libya,19.26
1878,Tripoli,Libya,19.76
1879,Tripoli,Libya,19.18
1880,Tripoli,Libya,19.36
1881,Tripoli,Libya,19.61
1882,Tripoli,Libya,19.02
1883,Tripoli,Libya,18.75
1884,Tripoli,Libya,18.52
1885,Tripoli,Libya,19.04
1886,Tripoli,Libya,18.85
1887,Tripoli,Libya,19.27
1888,Tripoli,Libya,19.06
1889,Tripoli,Libya,19.08
1890,Tripoli,Libya,18.62
1891,Tripoli,Libya,18.73
1892,Tripoli,Libya,19.58
1893,Tripoli,Libya,19.54
1894,Tripoli,Libya,19.38
1895,Tripoli,Libya,19.89
1896,Tripoli,Libya,19.07
1897,Tripoli,Libya,19.32
1898,Tripoli,Libya,19.33
1899,Tripoli,Libya,19.43
1900,Tripoli,Libya,19.43
1901,Tripoli,Libya,19.26
1902,Tripoli,Libya,19.27
1903,Tripoli,Libya,18.81
1904,Tripoli,Libya,19.25
1905,Tripoli,Libya,18.98
1906,Tripoli,Libya,19.15
1907,Tripoli,Libya,18.71
1908,Tripoli,Libya,19.13
1909,Tripoli,Libya,18.86
1910,Tripoli,Libya,18.81
1911,Tripoli,Libya,19.18
1912,Tripoli,Libya,19.37
1913,Tripoli,Libya,19.95
1914,Tripoli,Libya,18.97
1915,Tripoli,Libya,19.39
1916,Tripoli,Libya,19.86
1917,Tripoli,Libya,19.02
1918,Tripoli,Libya,19.10
1919,Tripoli,Libya,19.68
1920,Tripoli,Libya,19.76
1921,Tripoli,Libya,19.33
1922,Tripoli,Libya,19.49
1923,Tripoli,Libya,18.78
1924,Tripoli,Libya,20.12
1925,Tripoli,Libya,19.74
1926,Tripoli,Libya,19.82
1927,Tripoli,Libya,20.14
1928,Tripoli,Libya,19.71
1929,Tripoli,Libya,18.66
1930,Tripoli,Libya,19.87
1931,Tripoli,Libya,20.30
1932,Tripoli,Libya,19.94
1933,Tripoli,Libya,19.49
1934,Tripoli,Libya,19.73
1935,Tripoli,Libya,19.35
1936,Tripoli,Libya,19.67
1937,Tripoli,Libya,20.16
1938,Tripoli,Libya,18.79
1939,Tripoli,Libya,19.89
1940,Tripoli,Libya,19.23
1941,Tripoli,Libya,19.41
1942,Tripoli,Libya,19.76
1943,Tripoli,Libya,20.09
1944,Tripoli,Libya,19.47
1945,Tripoli,Libya,19.66
1946,Tripoli,Libya,20.12
1947,Tripoli,Libya,20.34
1948,Tripoli,Libya,19.34
1949,Tripoli,Libya,19.33
1950,Tripoli,Libya,19.51
1951,Tripoli,Libya,19.74
1952,Tripoli,Libya,20.13
1953,Tripoli,Libya,19.50
1954,Tripoli,Libya,18.86
1955,Tripoli,Libya,20.65
1956,Tripoli,Libya,19.06
1957,Tripoli,Libya,19.16
1958,Tripoli,Libya,19.59
1959,Tripoli,Libya,19.32
1960,Tripoli,Libya,20.31
1961,Tripoli,Libya,19.58
1962,Tripoli,Libya,19.69
1963,Tripoli,Libya,19.83
1964,Tripoli,Libya,19.48
1965,Tripoli,Libya,19.35
1966,Tripoli,Libya,19.68
1967,Tripoli,Libya,19.24
1968,Tripoli,Libya,19.81
1969,Tripoli,Libya,19.59
1970,Tripoli,Libya,19.61
1971,Tripoli,Libya,19.36
1972,Tripoli,Libya,19.60
1973,Tripoli,Libya,19.46
1974,Tripoli,Libya,19.28
1975,Tripoli,Libya,19.41
1976,Tripoli,Libya,19.07
1977,Tripoli,Libya,20.14
1978,Tripoli,Libya,19.37
1979,Tripoli,Libya,19.75
1980,Tripoli,Libya,18.97
1981,Tripoli,Libya,19.69
1982,Tripoli,Libya,20.07
1983,Tripoli,Libya,19.56
1984,Tripoli,Libya,19.40
1985,Tripoli,Libya,19.99
1986,Tripoli,Libya,19.66
1987,Tripoli,Libya,20.11
1988,Tripoli,Libya,20.31
1989,Tripoli,Libya,20.09
1990,Tripoli,Libya,20.53
1991,Tripoli,Libya,19.47
1992,Tripoli,Libya,19.67
1993,Tripoli,Libya,20.12
1994,Tripoli,Libya,20.55
1995,Tripoli,Libya,20.03
1996,Tripoli,Libya,20.21
1997,Tripoli,Libya,20.32
1998,Tripoli,Libya,20.24
1999,Tripoli,Libya,21.08
2000,Tripoli,Libya,20.37
2001,Tripoli,Libya,21.10
2002,Tripoli,Libya,20.73
2003,Tripoli,Libya,20.78
2004,Tripoli,Libya,20.46
2005,Tripoli,Libya,20.28
2006,Tripoli,Libya,20.64
2007,Tripoli,Libya,20.68
2008,Tripoli,Libya,20.61
2009,Tripoli,Libya,20.54
2010,Tripoli,Libya,21.17
2011,Tripoli,Libya,20.29
2012,Tripoli,Libya,20.81
2013,Tripoli,Libya,20.78
